user,diffRankings,narrRankings,enjRankings,diffComment,narrComment,enjComment,category,mapping,nar_diff_rank,if_diff_rank,hints_diff_rank,if_narr_rank,nar_narr_rank,hints_narr_rank,if_enj_rank,hints_enj_rank,nar_enj_rank
cjzXtqeeDtQy282aBR9UFFlwBMA3,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","Chili had the most hints, it felt like. The other two were a toss-up.",I liked the extra dialogue in Chili. The setting for the train was also very interesting.,The Chili story had much more personality and I liked the feeling of playing an old point and click game.,intermediate,"{'The Wild Rose Train': 'nar', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'if'}",3,1,2,3,2,1,3,1,2
IkagkgoJJaX5Ax0fU1T0G67SqtH3,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","The easiest one was the one with all the clues listed in one place.  The middle one was tedious, going to the different places to see the clues, but the story was more understandable.",Cooking was more relatable than dancing and the train situation was just confusing.,Best story comes first even with the annoyance of having to open multiple menu headers to see the clues.,expert,"{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'if'}",3,2,1,3,1,2,3,2,1
eynEGYBbOePVs6leT9NH0wR9iwH2,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","really just how strenuous they felt, they're probably all similar in difficulty but I got used to them","The train was just interesting in how you had to deduce it, and the chili competition felt a bit like an old text adventure. The ball was just kinda there.","I think I just enjoyed the ones I was able to solve more, honestly. Just a sense.",intermediate,"{'The Great Chili Competition': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'nar'}",1,3,2,2,3,1,1,2,3
uLnAA7jRyjU4PnjP9L010bKGkmh1,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","I was able to solve the train puzzle, it seemed like it was easier to sort through. The ball puzzle had so many links going back and forth it was almost impossible to work through the story.",The stories appeared to be more fleshed out in the higher ranked narratives.,"I chose this way because it was easier to work through the train puzzle. The ball puzzle just was not easy to move through and see the clues, so it was my least enjoyable.",intermediate,"{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if'}",2,1,3,3,2,1,1,3,2
0TC21VY61rSh86RPqhzm8Dx6AN72,"['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']",I didn't like the way the clues were layed on on the Chili one. It kind of made my head hurt so I didn't even attempt it. I was able to get a few of the clues on both the other two.,"The train one was interesting, it felt like I was searching for something myself. The chili one seemed interesting too I just couldn't concentrate on it",I enjoyed the story from the train one and it kept me interested longer. I also liked how the clues were. ,expert,"{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if'}",3,1,2,3,2,1,3,2,1
0SvZv0FNEzUad4GWOpkU4EMJmwv1,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]",It is my preference based on the storys.,I think each puzzle was different and unique.,Some of the puzzle hints were confusing and biased?,novice,"{""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Great Chili Competition': 'hints', 'The Wild Rose Train': 'if'}",2,3,1,3,1,2,2,3,1
lyHAEPfqH3TvlzIMWTdMfMRMLWf1,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']",The rules were listed in the ball so it was easier to translate into a solution. The rose train you had to follow the links to get all the information. It felt like one of those choose your own adventures I used to read as a kid. ,The one with train had the most characters that spoke and each had their own perspective which made it more engaging. ,Lady Rose's clues were listed and it was easier for me to map them out to a solution. ,intermediate,"{""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'if'}",3,2,1,2,3,1,1,2,3
Oo5feM6RCFcEnmcjmjhgeJpmSMk1,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","Although I was unable to complete them, I found that the wild rose train just had too much information thrown at me. The chili made it easier because it had less information and was in a list which made it better to read. The Ball had specific tabs with information on each page which helped me deduce my thoughts and make what I felt were more correct decisions.","I really loved the mystery and details and alibi's made by each character, helping me become more immersed. The chili competition felt like it could easily be related to and the train was just so hard to follow for me. The characters didn't seem to relate to one another. ","I really loved the way the puzzle was set up for the ball, I felt I was able to receive the information quickly and the story was well written. The chili was a simple one, with facts stated easily. The train was so bad having to click options to get answers to click more options and I felt like I had to keep going back and scrolling and sifting and clicking more options when I felt I couldn't find the information I was looking for. ",expert,"{'The Wild Rose Train': 'if', 'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'nar'}",1,3,2,1,3,2,1,2,3
4b9fgFrocmdyzLOAYIRQxCTgA8t1,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","Because the Ball was had the most information provided and felt like the hardest to solve, while the Wild Rose Train was the opposite I felt like I didn't have enough information to solve it.","The train read the most like a story as you had to move around the train and investigate things, Lady Rose Ball just felt like an enormous amount of information to look through rather than a narrated story.",I enjoyed the train the most as it felt like more of an investigation that I was involved in rather than just looking at some clues and trying to figure out the end result.,novice,"{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",2,1,3,3,2,1,3,1,2
Htv6KfJvNjVIATLTD2Vb35xMmRy2,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","The 1st (Train) had all of the clues laid out and I didn't have to go back and forth. The clues seemed easier to decipher. The 2nd (chili) I had to go back and forth and read more of the background story/lines to try to get 1 clue. The clues weren't easily found. The 3rd (ball), while more interesting to read,, was more difficult because you had to go back and forth between the story to find the clues.","The ball narrative was more interesting to read through because you could pick what you wanted to read about next, the characters were more developed, and there was a bigger more developed storyline. The Chili story had a moderate length storyline that was still interesting to read about. The train narrative had the least storyline and pretty much just presented the clues to complete the puzzle.","The chili was the most enjoyable because there was some storyline, but not too much. The train only offered the clues, which I enjoy too because I just want to try to complete the puzzle. The ball, while it had an interesting format and storyline, had too much information for me to read through to get the clues. It lost my attention and I found myself skimming through",expert,"{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if'}",2,1,3,3,2,1,1,2,3
EEunqc7R6QVeDENsZ8cbPig9E9q1,"['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']",It was harder to use the interface and information spread out everywhere for the train. ,The chili was easy to use and follow.,Easy to relate and simple enough,expert,"{'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar'}",2,3,1,1,3,2,1,2,3
3z4CN3VcLgWdZqf63TocrZKQHuH2,"[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]",Logic,Comparatively simple,Attainable ,novice,"{'The Wild Rose Train': 'nar', 'The Great Chili Competition': 'hints', ""Lady Rose's Chrysanthemum Ball"": 'if'}",2,3,1,3,1,2,1,2,3
smJkLWbJ4dP6d99j1iiAUk3jdX22,"['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train']",I think there were more clues in The Great Chili Competition.  The Wild Rose Train Puzzle called for clicking on several links to get information which made it more confusing.,I don't think The Wild Rose Train was fully developed.  The Ball puzzle was interesting and had some clues that were easier to understand.  The chili completion was more straight-forward.,I could not find relevant clues in The Wild Rose Train puzzle.  I was able to understand the Great Chili Competition better.,intermediate,"{'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints', 'The Great Chili Competition': 'nar'}",1,3,2,1,2,3,1,2,3
WzAkKPHmZYZ88wjkyqyEOwgj1gJ3,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']","[""Lady Rose's Chrysanthemum Ball"", 'The Wild Rose Train', 'The Great Chili Competition']",The story of the first one was really good and helped me understand the game,"The first story was really developed, the second wasn't as captivating, the last one was a recipe",The stories/background of the game made it easier to play the game,intermediate,"{""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'if', 'The Great Chili Competition': 'hints'}",1,2,3,2,3,1,2,1,3
E7L1YEn4XtOLXjkSRuYasuFawpA2,"[""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition', 'The Wild Rose Train']","['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","The Ball was the hardest to figure out, I don't think I got close.","The train ride was like something out of a movie (haha) but the chili competition was ridiculous. Like I said, if the chili competition was so important the Aunt should've left good instructions.",For me enjoying a puzzle is being able to eventually solve it. I don't think I'd ever figure out the Ball one.,expert,"{""Lady Rose's Chrysanthemum Ball"": 'nar', 'The Wild Rose Train': 'hints', 'The Great Chili Competition': 'if'}",3,2,1,1,2,3,2,3,1
LhetIKPwTQdnTtGCIDi0b5A46WK2,"['The Great Chili Competition', 'The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball""]","['The Wild Rose Train', 'The Great Chili Competition', ""Lady Rose's Chrysanthemum Ball""]","['The Wild Rose Train', ""Lady Rose's Chrysanthemum Ball"", 'The Great Chili Competition']","Because of how difficult they were, and how straight forward the clues were","I liked the crime mystery in the train, and found the ball really boring, the competition just happened to fall between the two","Same reasons as before, difficulty an how easy to understand the clues were",novice,"{'The Great Chili Competition': 'nar', 'The Wild Rose Train': 'if', ""Lady Rose's Chrysanthemum Ball"": 'hints'}",3,2,1,3,2,1,3,2,1
